id,title,difficulty,distance_m,duration_min,altitude_diff,altitude_start,has_rentals,lift_available,is_open,is_prepared,location,activity_type,activity_type_enc,location_enc
smgpoi7747706acc561a09d4b1d47d068682dd,01/10 Section cross country track Gsiesertal Valley: Hotel Tyrol – Durnwald,2,900.0,4.2,183.0,1208.0,1,0,1,0,Gsies/Valle di Casies,other,5,25
smgpoi597d72f0f3600f8999dca1b07c3f44e6,"01/11 Section cross country track Gsiesertal Valley: Durnwald – farm ""Untersinnerhof""",2,900.0,4.2,183.0,1192.0,1,0,1,0,Gsies/Valle di Casies,other,5,25
smgpoi780c00d0ccaa09b251389c9d8ad626a0,"01/12 Section cross country track Gsiesertal Valley: farm ""Untersinnerhof"" – Brückenwirt",2,900.0,4.2,183.0,1187.0,1,0,1,0,Gsies/Valle di Casies,other,5,25
smgpoi9ae8b8999abdfb372e7d5e6d59106a6c,01/1 Section cross country track Gsiesertal Valley: Brückenwirt – farm “Untersinnerhof”,2,900.0,4.2,183.0,1185.0,1,0,1,0,Welsberg-Taisten/Monguelfo-Tesido,other,5,115
smgpoi067b189fe7487c000f37735b27034449,"01/2 Section cross country track Gsiesertal Valley: farm ""Untersinnerhof"" – Binta Pub",2,900.0,4.2,183.0,1193.0,1,0,1,0,Gsies/Valle di Casies,other,5,25
smgpoi23b5ef81f13d3307bf9b442f52a3cf61,01/3 Section cross country track Gsiesertal Valley: Binta Pub – Hotel Tyrol,2,900.0,4.2,183.0,1202.0,1,0,1,0,Gsies/Valle di Casies,other,5,25
smgpoia3b63c34cbdc8e8bd39fb9e70d5a279d,01/4 Section cross country track Gsiesertal Valley: Hotel Tyrol – Steinegge – Kargruben,2,900.0,4.2,183.0,1218.0,0,0,0,0,Gsies/Valle di Casies,other,5,25
smgpoif44b6c4cd5e5f393be5596c79681bbe8,01/5 Section cross country track Gsiesertal Valley: Kargruben – sports field S. Martino,2,900.0,4.2,183.0,1288.0,1,0,0,0,Gsies/Valle di Casies,other,5,25
smgpoi6874fab8b4696c55bd47002f0709f7d4,"01/6 Section cross country track Gsiesertal Valley: sports field S. Martino – bridge ""Weider Brücke""",2,900.0,4.2,183.0,1287.0,0,0,0,0,Gsies/Valle di Casies,general,3,25
smgpoi95afeca111c12f379a55e861a3629ae9,"01/7  Section cross country track Gsiesertal Valley: bridge ""Weider Brücke"" – S. Maddalena – head of the valley",2,900.0,4.2,183.0,1461.0,1,0,0,0,Gsies/Valle di Casies,other,5,25
smgpoic9db9e89c4737b463912dd13e8c294df,"01/8 Section cross country track Gsiesertal Valley: head oft he valley S. Maddalena – bridge ""Weider Brücke""",2,900.0,4.2,183.0,1469.0,1,0,0,0,Gsies/Valle di Casies,other,5,25
smgpoiffeeaf6013173f1bba82a6c899a3acc2,01/9 Section cross country track Gsiesertal Valley: sports field S. Martino – Preindl – Hotel Tyrol,2,900.0,4.2,183.0,1218.0,1,0,0,0,Gsies/Valle di Casies,other,5,25
smgpoi6714518561a627bb75f44bd6ee80606a,01 Cross Country Ski trail – connection Welsberg – Gsiesertal Valley cross country track,2,900.0,4.2,183.0,1187.0,1,0,0,0,Welsberg-Taisten/Monguelfo-Tesido,other,5,115
smgpoicfc57664415ab9f1a99e017d7930da99,01 Cross country stadium Nordic Arena FISI - Albert Sprint,2,900.0,4.2,183.0,1215.0,0,0,0,0,Toblach/Dobbiaco,other,5,99
smgpoi01cfeff8da586e548327e539276c42f3,01 Cross country stadium track Toblach/Dobbiaco,2,900.0,4.2,183.0,1215.0,0,0,1,0,Toblach/Dobbiaco,other,5,99
smgpoi1c5031ebc6375bdbb721ae4c21d12c17,02 Connection Taisten – Gsiesertal Valley cross country track,2,900.0,4.2,183.0,1187.0,1,0,0,0,Welsberg-Taisten/Monguelfo-Tesido,other,5,115
smgpoib66fa66da650717e0964a4e30a716dae,02 Cross country stadium Nordic Arena  FISI - Stephanie,2,900.0,4.2,183.0,1216.0,0,0,0,0,Toblach/Dobbiaco,other,5,99
smgpoi98dccbb4d6a1f8cc477d9631a8b703f8,03 Cross country stadium Nordic Arena  FISI - Ole,2,900.0,4.2,183.0,1215.0,0,0,0,0,Toblach/Dobbiaco,other,5,99
