id,title,difficulty,distance_m,duration_min,altitude_diff,altitude_start,has_rentals,lift_available,is_open,is_prepared,location,activity_type,activity_type_enc,location_enc,activity_type_predicted,type_prediction_confidence
smgpoi7747706acc561a09d4b1d47d068682dd,01/10 Section cross country track Gsiesertal Valley: Hotel Tyrol – Durnwald,2,900.0,4.2,183.0,1208.0,1,0,1,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.9281566160370637
smgpoi597d72f0f3600f8999dca1b07c3f44e6,"01/11 Section cross country track Gsiesertal Valley: Durnwald – farm ""Untersinnerhof""",2,900.0,4.2,183.0,1192.0,1,0,1,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.9560091962865271
smgpoi780c00d0ccaa09b251389c9d8ad626a0,"01/12 Section cross country track Gsiesertal Valley: farm ""Untersinnerhof"" – Brückenwirt",2,900.0,4.2,183.0,1187.0,1,0,1,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.9398343712922106
smgpoi9ae8b8999abdfb372e7d5e6d59106a6c,01/1 Section cross country track Gsiesertal Valley: Brückenwirt – farm “Untersinnerhof”,2,900.0,4.2,183.0,1185.0,1,0,1,0,Welsberg-Taisten/Monguelfo-Tesido,hiking,3,115,hiking,0.9565986886106449
smgpoi067b189fe7487c000f37735b27034449,"01/2 Section cross country track Gsiesertal Valley: farm ""Untersinnerhof"" – Binta Pub",2,900.0,4.2,183.0,1193.0,1,0,1,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.9560091962865271
smgpoi23b5ef81f13d3307bf9b442f52a3cf61,01/3 Section cross country track Gsiesertal Valley: Binta Pub – Hotel Tyrol,2,900.0,4.2,183.0,1202.0,1,0,1,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.9647629190614011
smgpoia3b63c34cbdc8e8bd39fb9e70d5a279d,01/4 Section cross country track Gsiesertal Valley: Hotel Tyrol – Steinegge – Kargruben,2,900.0,4.2,183.0,1218.0,0,0,0,0,Gsies/Valle di Casies,running,4,25,running,0.40807777386725735
smgpoif44b6c4cd5e5f393be5596c79681bbe8,01/5 Section cross country track Gsiesertal Valley: Kargruben – sports field S. Martino,2,900.0,4.2,183.0,1288.0,1,0,0,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.7995728484650843
smgpoi6874fab8b4696c55bd47002f0709f7d4,"01/6 Section cross country track Gsiesertal Valley: sports field S. Martino – bridge ""Weider Brücke""",2,900.0,4.2,183.0,1287.0,0,0,0,0,Gsies/Valle di Casies,cycling,1,25,cycling,0.4916587216010647
smgpoi95afeca111c12f379a55e861a3629ae9,"01/7  Section cross country track Gsiesertal Valley: bridge ""Weider Brücke"" – S. Maddalena – head of the valley",2,900.0,4.2,183.0,1461.0,1,0,0,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.8528878939690308
smgpoic9db9e89c4737b463912dd13e8c294df,"01/8 Section cross country track Gsiesertal Valley: head oft he valley S. Maddalena – bridge ""Weider Brücke""",2,900.0,4.2,183.0,1469.0,1,0,0,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.932991031571623
smgpoiffeeaf6013173f1bba82a6c899a3acc2,01/9 Section cross country track Gsiesertal Valley: sports field S. Martino – Preindl – Hotel Tyrol,2,900.0,4.2,183.0,1218.0,1,0,0,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.6885002808657776
smgpoi6714518561a627bb75f44bd6ee80606a,01 Cross Country Ski trail – connection Welsberg – Gsiesertal Valley cross country track,2,900.0,4.2,183.0,1187.0,1,0,0,0,Welsberg-Taisten/Monguelfo-Tesido,hiking,3,115,hiking,0.8152792262923519
smgpoicfc57664415ab9f1a99e017d7930da99,01 Cross country stadium Nordic Arena FISI - Albert Sprint,2,900.0,4.2,183.0,1215.0,0,0,0,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.5923651249572124
smgpoi01cfeff8da586e548327e539276c42f3,01 Cross country stadium track Toblach/Dobbiaco,2,900.0,4.2,183.0,1215.0,0,0,1,0,Toblach/Dobbiaco,summer,6,99,summer,0.5052079340535461
smgpoi1c5031ebc6375bdbb721ae4c21d12c17,02 Connection Taisten – Gsiesertal Valley cross country track,2,900.0,4.2,183.0,1187.0,1,0,0,0,Welsberg-Taisten/Monguelfo-Tesido,hiking,3,115,hiking,0.8152792262923519
smgpoib66fa66da650717e0964a4e30a716dae,02 Cross country stadium Nordic Arena  FISI - Stephanie,2,900.0,4.2,183.0,1216.0,0,0,0,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.6165599136145246
smgpoi98dccbb4d6a1f8cc477d9631a8b703f8,03 Cross country stadium Nordic Arena  FISI - Ole,2,900.0,4.2,183.0,1215.0,0,0,0,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.5923651249572124
smgpoi3194a01a18570dfb666517c3675a7ffb,03 Section cross country track Gsiesertal Valley: circuit Mooswald trail S. Maddalena 3 km,2,900.0,4.2,183.0,1467.0,1,0,1,0,Gsies/Valle di Casies,hiking,3,25,hiking,0.9447257411267946
smgpoi71f266d1b52170025f0b47691331ea1c,04 Cross country track Gsiesertal Valley – connection to the 3 Zinnen Dolomites,2,900.0,4.2,183.0,1107.0,1,0,0,0,Welsberg-Taisten/Monguelfo-Tesido,hiking,3,115,hiking,0.690193299295697
smgpoi8683d8a950d921aec3e8fecadd8928b8,04 Cross country stadium Nordic Arena  FISI - Nathalie,2,900.0,4.2,183.0,1215.0,0,0,1,0,Toblach/Dobbiaco,summer,6,99,summer,0.5052079340535461
smgpoib633594e831bee18af6735d3bafa01e1,05 Cross country stadium Nordic Arena FISI - Saskia,2,900.0,4.2,183.0,1215.0,0,0,0,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.5923651249572124
smgpoif443a24d8eecd6879f8c45e1f740b311,06 Connection lake of Toblach/Dobbiaco variant,2,900.0,4.2,183.0,1257.0,0,0,1,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.3291440759636385
smgpoi4f54d676185c758efb9f8241fe7ff38a_reduced,10K Run,2,900.0,4.2,183.0,913.0,0,0,1,0,Prad am Stilfser Joch/Prato allo Stelvio,hiking,3,66,hiking,0.6932144450818409
smgpoi0a7428b48777b69eb4c1a615926e5f3c,10 Langenstein/Orso,2,900.0,4.2,183.0,2350.0,1,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.9808568236448528
smgpoia414943cd7c03e107e6d73d6668a985b,11 Toblach/Dobbiaco: Gemärk/Cimabanche - Cross country stadium Nordic Arena (variant) - section Cimabanche– War Cemetry closed,2,900.0,4.2,183.0,1212.0,0,0,1,0,Unknown,hiking,3,105,hiking,0.2781823885026721
smgpoi743046225cac40fe02eae184237db84f,11B Toblach/Dobbiaco: Round Val Fonda ,2,900.0,4.2,183.0,1445.0,0,0,0,0,Toblach/Dobbiaco,cycling,1,99,cycling,0.27830079143631953
smgpoi078883a95ff002aa246b5b99da5bb9d7,11 Summit Tour,2,900.0,4.2,183.0,1074.0,0,0,0,0,Rasen-Antholz/Rasun Anterselva,skiing,5,70,skiing,0.3816897070026297
smgpoi463cb17898d87d08f30ed2c3019b9656_reduced,11 Cross country ski stadium Toblach/Dobbiaco - Lake of Toblach/Dobbiaco (variant),2,900.0,4.2,183.0,1256.0,0,0,1,0,Toblach/Dobbiaco,climbing,0,99,climbing,0.3647222293618606
smgpoib962fcab4368d334e041d5f0da07387d,11 Cross country stadium Toblach/Dobbiaco - Gemärk/Cimabanche (open until the Lake of Landro),2,900.0,4.2,183.0,1258.0,0,0,1,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.3291440759636385
smgpoiad3c773e036821e1bb837e8e87befc74_reduced,11 Toblach / Dobbiaco: View of the Three Peaks - Gemärk/Cimabanche (only skating),2,900.0,4.2,183.0,1214.0,0,0,1,0,Prags/Braies,summer,6,67,summer,0.49772280074192654
smgpoifd6e51282a0154ec3d5a7beef1ab11ed,12a Pendio classico,2,900.0,4.2,183.0,2190.0,0,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.6413295901717045
smgpoi5bf119c73b1340f4ca69a1510e0f1668,12b Collegamento,2,900.0,4.2,183.0,2000.0,1,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.605471416490486
smgpoi965e9f987f73c927194e9923e3118922,12 Pulpito/Kanzel,2,900.0,4.2,183.0,1900.0,1,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.9825169688121452
smgpoic841c0bed1ccdd643955065a696eed34,"12 Track, around the village of Toblach/Dobbiaco",2,900.0,4.2,183.0,1202.0,0,0,0,0,Toblach/Dobbiaco,skiing,5,99,skiing,0.47593349072984903
smgpoice711f3b0158ab156c609d8661363a6c,13a Innichen/San Candido chairlift Haunold/Baranci - direction Toblach/Dobbiaco (meadow) ,2,900.0,4.2,183.0,1196.0,1,0,0,0,Innichen/San Candido,hiking,3,27,hiking,0.8047207333801689
smgpoief5c31fed67c7deb7fdccecd12180a79,13b Innichen/San Candido Hotel Walter - Toblach / Dobbiaco,2,900.0,4.2,183.0,1195.0,0,0,0,0,Innichen/San Candido,skiing,5,27,skiing,0.4034391340050458
smgpoif2d04f76ea1ebd6c8e3aedd506fba35a,13 San Candido/Innichen chairlift Haunold/Baranci - direction Toblach/Dobbiaco (forest),2,900.0,4.2,183.0,1196.0,1,0,1,0,Innichen/San Candido,hiking,3,27,hiking,0.9454267416609307
smgpoi17faaa004cf1379acfb36ca943176ba1,"13 Nordic Arena -  San Candido, lift Haunold (wood) ",2,900.0,4.2,183.0,1215.0,0,0,1,0,Toblach/Dobbiaco,summer,6,99,summer,0.5052079340535461
smgpoi3b2c4f2b047d2331964301d7aa1c7671,13 Discesa di Zay,2,900.0,4.2,183.0,2200.0,1,0,0,0,Stilfs/Stelvio,hiking,3,90,hiking,0.9784079729378475
smgpoic04ac23f78350bfcf1cda5b31ee2d98a,14a Des Alpes 2,2,900.0,4.2,183.0,2550.0,1,0,0,0,Stilfs/Stelvio,hiking,3,90,hiking,0.9381344702912164
smgpoi122fb26fea02abe7981ec3b337f6e47b,14 Des Alpes 1,2,900.0,4.2,183.0,2550.0,1,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.960891142644723
smgpoi569586dd3a8b10f4aaa7df8046154781,14   Ski hiking trai Schluderbach/Carbonin - Plätzwiese/Prato Piazza ,2,900.0,4.2,183.0,1458.0,0,0,1,0,Prags/Braies,hiking,3,67,hiking,0.5427874077868133
smgpoi3626ad8176d23c0a5997cd3f5b718cec,15 Innichen/San Candido Hotel Brandl - Vierschach/Versciaco,2,900.0,4.2,183.0,1166.0,0,0,0,0,Innichen/San Candido,summer,6,27,summer,0.40464976420838766
smgpoiefd61fc94bfdb00d608f26861a62e117,15 Ortler,2,900.0,4.2,183.0,2289.0,0,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.5650364320730628
smgpoiffbf32ee7596962f67898b04b5f3a875,16a SEXTEN - Gasthaus Alte Säge - Schmieden ,2,900.0,4.2,183.0,1260.0,0,0,1,0,Sexten/Sesto,climbing,0,84,climbing,0.3528847377941822
smgpoi710cb772e28a6d53eeda6495bb501262,16b SEXTEN - Schmieden - Waldheim,2,900.0,4.2,183.0,1270.0,0,0,1,0,Sexten/Sesto,hiking,3,84,hiking,0.3827891016559349
smgpoi942c854854bb425958e9dda69287f20b,16 Innichen/San Candido - direction Sexten/Sesto (Restaurant Alte Säge) ,2,900.0,4.2,183.0,1181.0,1,0,1,0,Innichen/San Candido,hiking,3,27,hiking,0.9621206221720848
smgpoic2fc819a4e293dad44696b571a244767,16 Rosim,2,900.0,4.2,183.0,2359.0,0,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.6674334701017748
smgpoi5ff6181e4cef3c4e6f87fa8c35008b3d,17a SEXTEN - Waldheim - Mühlenhof,2,900.0,4.2,183.0,1358.0,0,0,1,0,Sexten/Sesto,hiking,3,84,hiking,0.35888844882740883
smgpoi6e83f6e13bd72ef819976c58d86f1509,17b SEXTEN - Mühlenhof - Fischleintal Valley,2,900.0,4.2,183.0,1365.0,0,0,1,0,Sexten/Sesto,hiking,3,84,hiking,0.3881079682791727
smgpoiafcfff9d239d17ce2f54af895baa20d5,18a SEXTEN - Short Circular Trail in the Fischleintal Valley ,2,900.0,4.2,183.0,1453.0,0,0,1,0,Sexten/Sesto,hiking,3,84,hiking,0.37302153400820887
smgpoi8880543191b6edd01722ea07a32bb32a,18 SEXTEN - Circular Trail in the Fischleintal Valley ,2,900.0,4.2,183.0,1453.0,0,0,1,0,Sexten/Sesto,hiking,3,84,hiking,0.37302153400820887
smgpoi7fef8af6604814ffa25beaee760159b7,19 SEXTEN - Circular Trail in the Lärchenwiese,2,900.0,4.2,183.0,1358.0,0,0,0,0,Sexten/Sesto,cycling,1,84,cycling,0.5513700321990236
smgpoi0d37440bb67a7353de9e7102534dd86d,1a Madriccio,2,900.0,4.2,183.0,2850.0,1,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.922394059322306
smgpoie5f1d040122d7b6fc3550e91b183e80f,1b Discesa a valle,2,900.0,4.2,183.0,2200.0,1,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.9762041214650412
smgpoiddcea9c36e0c1efc0e6f0b83a4826cc9,1c Kanonenrohr,2,900.0,4.2,183.0,1900.0,1,0,0,0,Stilfs/Stelvio,hiking,3,90,hiking,0.9717035320865063
smgpoi3a13cf280b56cd840750c4ff1be9b56d,1 Madriccio,2,900.0,4.2,183.0,2610.0,1,0,1,0,Stilfs/Stelvio,hiking,3,90,hiking,0.9757912090205597
smgpoi5968129a367155f98aa52175da22fd02,1 Pista Thöni,2,900.0,4.2,183.0,1570.0,0,0,1,0,Stilfs/Stelvio,hiking,3,90,running,0.4060206493356718
dss_187043,2000,4,1989.0,9.0,390.0,1520.0,0,0,1,0,Unknown,winter,7,105,winter,0.9898228787767432
smgpoi7888b47a9d49baef538f03dfef80f4d0,201 Carezza Trail,2,900.0,4.2,183.0,1743.0,1,0,0,0,Welschnofen/Nova Levante,hiking,3,116,hiking,0.9407486580125337
smgpoid3a2cd78fcd87d0204e38e8b402abf80,207 Sellaronda MTB TOUR counterclockwise,2,900.0,4.2,183.0,1560.0,0,0,0,0,Sëlva/Selva di Val Gardena,cycling,1,92,cycling,0.3688848763160305
smgpoi4ad6cef8b343c111c40db228c9beaa5c_reduced,208 Sellaronda MTB TOUR clockwise,2,900.0,4.2,183.0,1539.0,0,0,0,0,Sëlva/Selva di Val Gardena,cycling,1,92,cycling,0.41070616040404034
smgpoi65ea3ca1d89e1547201c7d96b788ab76,20 SEXTEN - Circular Trail Schönfelder ,2,900.0,4.2,183.0,1351.0,0,0,0,0,Sexten/Sesto,cycling,1,84,cycling,0.4398848431855825
