id,en_title,activity_type,location,difficulty,distance_m,duration_min,summary,keywords,summary_source,hazard_flags,condition_flags,has_hazard,has_condition_info
smgpoi7747706acc561a09d4b1d47d068682dd,01/10 Section cross country track Gsiesertal Valley: Hotel Tyrol – Durnwald,hiking,Gsies/Valle di Casies,2,900.0,4.2,Hiking route in Gsies/Valle di Casies. Rental equipment available.,"hotel tyrol, durnwald, gsiesertal valley",template,,rental,False,True
smgpoi597d72f0f3600f8999dca1b07c3f44e6,"01/11 Section cross country track Gsiesertal Valley: Durnwald – farm ""Untersinnerhof""",hiking,Gsies/Valle di Casies,2,900.0,4.2,Hiking route in Gsies/Valle di Casies. Rental equipment available.,"durnwald, gsiesertal valley, untersinnerhof",template,,rental,False,True
smgpoi780c00d0ccaa09b251389c9d8ad626a0,"01/12 Section cross country track Gsiesertal Valley: farm ""Untersinnerhof"" – Brückenwirt",hiking,Gsies/Valle di Casies,2,900.0,4.2,Hiking route in Gsies/Valle di Casies. Rental equipment available.,"gsiesertal valley, untersinnerhof",template,,rental,False,True
smgpoi9ae8b8999abdfb372e7d5e6d59106a6c,01/1 Section cross country track Gsiesertal Valley: Brückenwirt – farm “Untersinnerhof”,hiking,Welsberg-Taisten/Monguelfo-Tesido,2,900.0,4.2,Hiking route in Welsberg-Taisten/Monguelfo-Tesido. Rental equipment available.,"brückenwirt, gsiesertal valley, untersinnerhof",template,,rental,False,True
smgpoi067b189fe7487c000f37735b27034449,"01/2 Section cross country track Gsiesertal Valley: farm ""Untersinnerhof"" – Binta Pub",hiking,Gsies/Valle di Casies,2,900.0,4.2,Hiking route in Gsies/Valle di Casies. Rental equipment available.,"gsiesertal valley, binta pub, 01/2, section cross country track, untersinnerhof",template,,rental,False,True
smgpoi23b5ef81f13d3307bf9b442f52a3cf61,01/3 Section cross country track Gsiesertal Valley: Binta Pub – Hotel Tyrol,hiking,Gsies/Valle di Casies,2,900.0,4.2,Hiking route in Gsies/Valle di Casies. Rental equipment available.,"binta pub, hotel tyrol, gsiesertal valley, binta pub – hotel tyrol",template,,rental,False,True
smgpoia3b63c34cbdc8e8bd39fb9e70d5a279d,01/4 Section cross country track Gsiesertal Valley: Hotel Tyrol – Steinegge – Kargruben,running,Gsies/Valle di Casies,2,900.0,4.2,Running route in Gsies/Valle di Casies.,"hotel tyrol, 01/4, steinegge – kargruben, gsiesertal valley, steinegge",template,,,False,False
smgpoif44b6c4cd5e5f393be5596c79681bbe8,01/5 Section cross country track Gsiesertal Valley: Kargruben – sports field S. Martino,hiking,Gsies/Valle di Casies,2,900.0,4.2,Hiking route in Gsies/Valle di Casies. Rental equipment available.,"kargruben, sports field s. martino, gsiesertal valley, s. martino",template,,rental,False,True
smgpoi6874fab8b4696c55bd47002f0709f7d4,"01/6 Section cross country track Gsiesertal Valley: sports field S. Martino – bridge ""Weider Brücke""",cycling,Gsies/Valle di Casies,2,900.0,4.2,Cycling route in Gsies/Valle di Casies.,"01/6, sports field, s. martino – bridge, ""weider brücke, gsiesertal valley",template,,,False,False
smgpoi95afeca111c12f379a55e861a3629ae9,"01/7  Section cross country track Gsiesertal Valley: bridge ""Weider Brücke"" – S. Maddalena – head of the valley",hiking,Gsies/Valle di Casies,2,900.0,4.2,Hiking route in Gsies/Valle di Casies. Rental equipment available.,"s. maddalena, ""weider brücke, head, the valley, gsiesertal valley",template,,rental,False,True
smgpoic9db9e89c4737b463912dd13e8c294df,"01/8 Section cross country track Gsiesertal Valley: head oft he valley S. Maddalena – bridge ""Weider Brücke""",hiking,Gsies/Valle di Casies,2,900.0,4.2,Hiking route in Gsies/Valle di Casies. Rental equipment available.,"head, he valley s. maddalena – bridge, ""weider brücke, gsiesertal valley, s. maddalena",template,,rental,False,True
smgpoiffeeaf6013173f1bba82a6c899a3acc2,01/9 Section cross country track Gsiesertal Valley: sports field S. Martino – Preindl – Hotel Tyrol,hiking,Gsies/Valle di Casies,2,900.0,4.2,Hiking route in Gsies/Valle di Casies. Rental equipment available.,"s. martino, 01/9, preindl, hotel tyrol, 01/9 section cross",template,,rental,False,True
smgpoi6714518561a627bb75f44bd6ee80606a,01 Cross Country Ski trail – connection Welsberg – Gsiesertal Valley cross country track,hiking,Welsberg-Taisten/Monguelfo-Tesido,2,900.0,4.2,Hiking route in Welsberg-Taisten/Monguelfo-Tesido. Rental equipment available.,"welsberg, 01 cross country ski trail, connection, gsiesertal valley cross country track, cross country ski",template,,rental,False,True
smgpoicfc57664415ab9f1a99e017d7930da99,01 Cross country stadium Nordic Arena FISI - Albert Sprint,skiing,Toblach/Dobbiaco,2,900.0,4.2,Skiing route in Toblach/Dobbiaco.,nordic arena fisi - albert sprint,template,,,False,False
smgpoi01cfeff8da586e548327e539276c42f3,01 Cross country stadium track Toblach/Dobbiaco,summer,Toblach/Dobbiaco,2,900.0,4.2,Summer route in Toblach/Dobbiaco.,"toblach/dobbiaco, 01 cross country stadium track",template,,,False,False
smgpoi1c5031ebc6375bdbb721ae4c21d12c17,02 Connection Taisten – Gsiesertal Valley cross country track,hiking,Welsberg-Taisten/Monguelfo-Tesido,2,900.0,4.2,Hiking route in Welsberg-Taisten/Monguelfo-Tesido. Rental equipment available.,gsiesertal valley,template,,rental,False,True
smgpoib66fa66da650717e0964a4e30a716dae,02 Cross country stadium Nordic Arena  FISI - Stephanie,skiing,Toblach/Dobbiaco,2,900.0,4.2,Skiing route in Toblach/Dobbiaco.,"02 cross country stadium, nordic arena  fisi - stephanie, cross, nordic arena",template,,,False,False
smgpoi98dccbb4d6a1f8cc477d9631a8b703f8,03 Cross country stadium Nordic Arena  FISI - Ole,skiing,Toblach/Dobbiaco,2,900.0,4.2,Skiing route in Toblach/Dobbiaco.,"03 cross country stadium, nordic arena  fisi - ole, nordic arena",template,,,False,False
